,batch_size,temperature,weight_decay,color_jitter,resnet_depth,regularization_loss,label_top_1_accuracy,label_top_5_accuracy,global_step
4,256,0.25,0.0001,0.65,18,0.0072,0.827,0.992,19695.0
6,256,0.25,0.0001,0.75,18,0.007,0.825,0.994,19695.0
8,256,0.5,0.0001,0.65,18,0.0108,0.819,0.993,19695.0
10,256,0.5,0.0001,0.75,18,0.0108,0.82,0.993,19695.0
12,512,0.25,0.0001,0.65,18,0.0081,0.841,0.993,9800.0
13,512,0.25,0.0001,0.75,18,0.0081,0.837,0.994,9800.0
14,512,0.5,0.0001,0.65,18,0.012,0.824,0.994,9800.0
15,512,0.5,0.0001,0.75,18,0.0118,0.823,0.994,9800.0
0,1024,0.25,0.0001,0.65,18,0.0093,0.846,0.994,4900.0
1,1024,0.25,0.0001,0.75,18,0.0092,0.841,0.995,4900.0
2,1024,0.5,0.0001,0.65,18,0.0132,0.83,0.994,4900.0
3,1024,0.5,0.0001,0.75,18,0.0131,0.833,0.994,4900.0
5,256,0.25,0.0001,0.65,50,0.0228,0.862,0.997,19695.0
7,256,0.25,0.0001,0.75,50,0.0224,0.861,0.996,19695.0
9,256,0.5,0.0001,0.65,50,0.0223,0.849,0.996,19695.0
11,256,0.5,0.0001,0.75,50,0.0215,0.851,0.995,19695.0
