,batch_size,temperature,weight_decay,color_jitter,resnet_depth,regularization_loss,label_top_1_accuracy,label_top_5_accuracy,global_step
9,32,0.5,0.0001,0.75,50,0.0238,0.814,0.992,157762.0
8,32,0.5,0.0001,0.65,50,0.0243,0.822,0.992,157762.0
11,64,0.5,0.0001,0.75,50,0.0222,0.833,0.994,78881.0
10,64,0.5,0.0001,0.65,50,0.0223,0.835,0.995,78881.0
14,64,0.75,0.0001,0.75,50,0.0243,0.822,0.993,78881.0
13,64,0.75,0.0001,0.65,50,0.0242,0.828,0.993,78881.0
12,64,0.75,0.0001,0.25,50,0.021,0.838,0.995,78881.0
1,128,0.5,0.0001,0.75,50,0.0222,0.842,0.994,39100.0
0,128,0.5,0.0001,0.65,50,0.0225,0.844,0.994,39100.0
3,128,0.75,0.0001,0.75,50,0.024,0.829,0.994,39100.0
2,128,0.75,0.0001,0.65,50,0.0248,0.831,0.994,39100.0
5,256,0.5,0.0001,0.75,50,0.023,0.848,0.994,19695.0
4,256,0.5,0.0001,0.65,50,0.0235,0.846,0.995,19695.0
7,256,0.75,0.0001,0.75,50,0.0262,0.833,0.994,19695.0
6,256,0.75,0.0001,0.65,50,0.0255,0.832,0.994,19695.0
